setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;PROCESSO Nº 0045402016-3;28;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0089192022-6;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013172023-6;28;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9288612025-1;47;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9288312025-0;43;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9288342025-4;35;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2057762025-8;23;2026-07-10;
SEFAZ - RECEITA;MAPA ANUAL DE FERIAS POR PERIODO - SEFAZ-AP - 2025;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0057482017-5;4;2026-07-10;
SEFAZ - RECEITA;EMISSÃO DE NOTA FISCAL - CARLOS JOSE GATO DA COSTA;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0131812017-9;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0131862017-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0028002018-0;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171812017-6;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171832017-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0125902017-7;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013602018-6;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013682018-2;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013712018-4;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013492018-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0013742018-8;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0134412017-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0115802017-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0069742018-3;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0142912017-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0195652017-1;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0195642017-7;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0116572017-5;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0078862017-7;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083612017-5;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083002017-9;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0127772017-7;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0127762017-2;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0050152018-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0102772017-0;78;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0160102017-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0160092017-9;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0141792017-3;31;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0128932017-9;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0128942017-3;7;2026-07-10;
